统计,,,,,,,,,,,
最大值,26.8,@,84,,,,,,,,
最小值,0.0,@,1,,,,,,,,
平均值,13.35,,,,,,,,,,
数据数量,108,,,,,,,,,,
NG次数,0,,,,,,,,,,
数量,力量,单位,位移,单位,合格判定,姿势,时间,日期,测定者,
85,26.7,N,0.000,mm,OK,--,22:39:40,2024/10/14,--,
86,26.5,N,0.000,mm,OK,--,22:39:40,2024/10/14,--,
87,26.5,N,0.000,mm,OK,--,22:39:40,2024/10/14,--,
88,26.4,N,0.000,mm,OK,--,22:39:40,2024/10/14,--,
89,26.4,N,0.000,mm,OK,--,22:39:40,2024/10/14,--,
90,26.4,N,0.000,mm,OK,--,22:39:40,2024/10/14,--,
91,26.3,N,0.000,mm,OK,--,22:39:40,2024/10/14,--,
92,26.3,N,0.000,mm,OK,--,22:39:40,2024/10/14,--,
93,26.3,N,0.000,mm,OK,--,22:39:40,2024/10/14,--,
94,26.2,N,0.000,mm,OK,--,22:39:41,2024/10/14,--,
95,26.2,N,0.000,mm,OK,--,22:39:41,2024/10/14,--,
96,26.2,N,0.000,mm,OK,--,22:39:41,2024/10/14,--,
97,26.2,N,0.000,mm,OK,--,22:39:41,2024/10/14,--,
98,26.1,N,0.000,mm,OK,--,22:39:41,2024/10/14,--,
99,26.1,N,0.000,mm,OK,--,22:39:41,2024/10/14,--,
100,26.1,N,0.000,mm,OK,--,22:39:41,2024/10/14,--,
101,26.1,N,0.000,mm,OK,--,22:39:41,2024/10/14,--,
102,26.1,N,0.000,mm,OK,--,22:39:41,2024/10/14,--,
103,26.1,N,0.000,mm,OK,--,22:39:41,2024/10/14,--,
104,26.0,N,0.000,mm,OK,--,22:39:42,2024/10/14,--,
105,26.0,N,0.000,mm,OK,--,22:39:42,2024/10/14,--,
106,26.0,N,0.000,mm,OK,--,22:39:42,2024/10/14,--,
107,26.0,N,0.000,mm,OK,--,22:39:42,2024/10/14,--,
108,26.0,N,0.000,mm,OK,--,22:39:42,2024/10/14,--,
