统计,,,,,,,,,,,
最大值,31.1,@,30,,,,,,,,
最小值,0.0,@,1,,,,,,,,
平均值,1.46,,,,,,,,,,
数据数量,105,,,,,,,,,,
NG次数,0,,,,,,,,,,
数量,力量,单位,位移,单位,合格判定,姿势,时间,日期,测定者,
1,0.0,N,0.000,mm,OK,--,0:49:27,2024/10/10,--,
2,0.0,N,0.000,mm,OK,--,0:49:27,2024/10/10,--,
3,0.0,N,0.000,mm,OK,--,0:49:27,2024/10/10,--,
4,0.0,N,0.000,mm,OK,--,0:49:27,2024/10/10,--,
5,0.0,N,0.000,mm,OK,--,0:49:27,2024/10/10,--,
6,0.0,N,0.000,mm,OK,--,0:49:27,2024/10/10,--,
7,0.0,N,0.000,mm,OK,--,0:49:27,2024/10/10,--,
8,0.0,N,0.000,mm,OK,--,0:49:27,2024/10/10,--,
9,0.0,N,0.000,mm,OK,--,0:49:28,2024/10/10,--,
10,0.0,N,0.000,mm,OK,--,0:49:28,2024/10/10,--,
11,0.0,N,0.000,mm,OK,--,0:49:28,2024/10/10,--,
12,0.0,N,0.000,mm,OK,--,0:49:28,2024/10/10,--,
13,0.0,N,0.000,mm,OK,--,0:49:28,2024/10/10,--,
14,0.0,N,0.000,mm,OK,--,0:49:28,2024/10/10,--,
15,0.0,N,0.000,mm,OK,--,0:49:28,2024/10/10,--,
16,0.0,N,0.000,mm,OK,--,0:49:28,2024/10/10,--,
17,0.0,N,0.000,mm,OK,--,0:49:28,2024/10/10,--,
18,0.0,N,0.000,mm,OK,--,0:49:28,2024/10/10,--,
19,0.0,N,0.000,mm,OK,--,0:49:29,2024/10/10,--,
20,0.0,N,0.000,mm,OK,--,0:49:29,2024/10/10,--,
21,0.0,N,0.000,mm,OK,--,0:49:29,2024/10/10,--,
22,0.0,N,0.000,mm,OK,--,0:49:29,2024/10/10,--,
23,0.0,N,0.000,mm,OK,--,0:49:29,2024/10/10,--,
24,0.0,N,0.000,mm,OK,--,0:49:29,2024/10/10,--,
25,0.0,N,0.000,mm,OK,--,0:49:29,2024/10/10,--,
26,0.0,N,0.000,mm,OK,--,0:49:29,2024/10/10,--,
27,0.0,N,0.000,mm,OK,--,0:49:29,2024/10/10,--,
28,0.0,N,0.000,mm,OK,--,0:49:29,2024/10/10,--,
29,9.5,N,0.000,mm,OK,--,0:49:30,2024/10/10,--,
30,31.1,N,0.000,mm,OK,--,0:49:30,2024/10/10,--,
31,28.6,N,0.000,mm,OK,--,0:49:30,2024/10/10,--,
32,10.0,N,0.000,mm,OK,--,0:49:30,2024/10/10,--,
33,7.6,N,0.000,mm,OK,--,0:49:30,2024/10/10,--,
34,6.3,N,0.000,mm,OK,--,0:49:30,2024/10/10,--,
35,5.7,N,0.000,mm,OK,--,0:49:30,2024/10/10,--,
36,5.4,N,0.000,mm,OK,--,0:49:30,2024/10/10,--,
37,5.1,N,0.000,mm,OK,--,0:49:30,2024/10/10,--,
38,0.0,N,0.000,mm,OK,--,0:49:30,2024/10/10,--,
39,0.0,N,0.000,mm,OK,--,0:49:31,2024/10/10,--,
40,0.0,N,0.000,mm,OK,--,0:49:31,2024/10/10,--,
41,0.0,N,0.000,mm,OK,--,0:49:31,2024/10/10,--,
42,0.0,N,0.000,mm,OK,--,0:49:31,2024/10/10,--,
43,0.0,N,0.000,mm,OK,--,0:49:31,2024/10/10,--,
44,0.0,N,0.000,mm,OK,--,0:49:31,2024/10/10,--,
45,0.0,N,0.000,mm,OK,--,0:49:31,2024/10/10,--,
46,1.8,N,0.000,mm,OK,--,0:49:31,2024/10/10,--,
47,6.8,N,0.000,mm,OK,--,0:49:31,2024/10/10,--,
48,6.0,N,0.000,mm,OK,--,0:49:31,2024/10/10,--,
49,5.3,N,0.000,mm,OK,--,0:49:32,2024/10/10,--,
50,5.1,N,0.000,mm,OK,--,0:49:32,2024/10/10,--,
51,5.0,N,0.000,mm,OK,--,0:49:32,2024/10/10,--,
52,4.9,N,0.000,mm,OK,--,0:49:32,2024/10/10,--,
53,4.8,N,0.000,mm,OK,--,0:49:32,2024/10/10,--,
54,4.7,N,0.000,mm,OK,--,0:49:32,2024/10/10,--,
55,0.0,N,0.000,mm,OK,--,0:49:32,2024/10/10,--,
56,0.0,N,0.000,mm,OK,--,0:49:32,2024/10/10,--,
57,0.0,N,0.000,mm,OK,--,0:49:32,2024/10/10,--,
58,0.0,N,0.000,mm,OK,--,0:49:32,2024/10/10,--,
59,0.0,N,0.000,mm,OK,--,0:49:33,2024/10/10,--,
60,0.0,N,0.000,mm,OK,--,0:49:33,2024/10/10,--,
61,0.0,N,0.000,mm,OK,--,0:49:33,2024/10/10,--,
62,0.0,N,0.000,mm,OK,--,0:49:33,2024/10/10,--,
63,0.0,N,0.000,mm,OK,--,0:49:33,2024/10/10,--,
64,0.0,N,0.000,mm,OK,--,0:49:33,2024/10/10,--,
65,0.0,N,0.000,mm,OK,--,0:49:33,2024/10/10,--,
66,0.0,N,0.000,mm,OK,--,0:49:33,2024/10/10,--,
67,0.0,N,0.000,mm,OK,--,0:49:33,2024/10/10,--,
68,0.0,N,0.000,mm,OK,--,0:49:33,2024/10/10,--,
69,0.0,N,0.000,mm,OK,--,0:49:34,2024/10/10,--,
70,0.0,N,0.000,mm,OK,--,0:49:34,2024/10/10,--,
71,0.0,N,0.000,mm,OK,--,0:49:34,2024/10/10,--,
72,0.0,N,0.000,mm,OK,--,0:49:34,2024/10/10,--,
73,0.0,N,0.000,mm,OK,--,0:49:34,2024/10/10,--,
74,0.0,N,0.000,mm,OK,--,0:49:34,2024/10/10,--,
75,0.0,N,0.000,mm,OK,--,0:49:34,2024/10/10,--,
76,0.0,N,0.000,mm,OK,--,0:49:34,2024/10/10,--,
77,0.0,N,0.000,mm,OK,--,0:49:34,2024/10/10,--,
78,0.0,N,0.000,mm,OK,--,0:49:34,2024/10/10,--,
79,0.0,N,0.000,mm,OK,--,0:49:35,2024/10/10,--,
80,0.0,N,0.000,mm,OK,--,0:49:35,2024/10/10,--,
81,0.0,N,0.000,mm,OK,--,0:49:35,2024/10/10,--,
82,0.0,N,0.000,mm,OK,--,0:49:35,2024/10/10,--,
83,0.0,N,0.000,mm,OK,--,0:49:35,2024/10/10,--,
84,0.0,N,0.000,mm,OK,--,0:49:35,2024/10/10,--,
85,0.0,N,0.000,mm,OK,--,0:49:35,2024/10/10,--,
86,0.0,N,0.000,mm,OK,--,0:49:35,2024/10/10,--,
87,0.0,N,0.000,mm,OK,--,0:49:35,2024/10/10,--,
88,0.0,N,0.000,mm,OK,--,0:49:35,2024/10/10,--,
89,0.0,N,0.000,mm,OK,--,0:49:36,2024/10/10,--,
90,0.0,N,0.000,mm,OK,--,0:49:36,2024/10/10,--,
91,0.0,N,0.000,mm,OK,--,0:49:36,2024/10/10,--,
92,0.0,N,0.000,mm,OK,--,0:49:36,2024/10/10,--,
93,0.0,N,0.000,mm,OK,--,0:49:36,2024/10/10,--,
94,0.0,N,0.000,mm,OK,--,0:49:36,2024/10/10,--,
95,0.0,N,0.000,mm,OK,--,0:49:36,2024/10/10,--,
96,0.0,N,0.000,mm,OK,--,0:49:36,2024/10/10,--,
97,0.0,N,0.000,mm,OK,--,0:49:36,2024/10/10,--,
98,0.0,N,0.000,mm,OK,--,0:49:36,2024/10/10,--,
99,0.0,N,0.000,mm,OK,--,0:49:37,2024/10/10,--,
100,0.0,N,0.000,mm,OK,--,0:49:37,2024/10/10,--,
101,0.0,N,0.000,mm,OK,--,0:49:37,2024/10/10,--,
102,0.0,N,0.000,mm,OK,--,0:49:37,2024/10/10,--,
103,0.0,N,0.000,mm,OK,--,0:49:37,2024/10/10,--,
104,0.0,N,0.000,mm,OK,--,0:49:37,2024/10/10,--,
105,0.0,N,0.000,mm,OK,--,0:49:37,2024/10/10,--,
