统计,,,,,,,,,,,
最大值,7.2,@,29,,,,,,,,
最小值,0.0,@,1,,,,,,,,
平均值,2.72,,,,,,,,,,
数据数量,309,,,,,,,,,,
NG次数,0,,,,,,,,,,
数量,力量,单位,位移,单位,合格判定,姿势,时间,日期,测定者,
85,0.0,N,0.000,mm,OK,--,0:21:30,2024/10/10,--,
86,0.0,N,0.000,mm,OK,--,0:21:30,2024/10/10,--,
87,0.0,N,0.000,mm,OK,--,0:21:30,2024/10/10,--,
88,0.0,N,0.000,mm,OK,--,0:21:30,2024/10/10,--,
89,0.0,N,0.000,mm,OK,--,0:21:31,2024/10/10,--,
90,5.8,N,0.000,mm,OK,--,0:21:31,2024/10/10,--,
91,7.1,N,0.000,mm,OK,--,0:21:31,2024/10/10,--,
92,7.0,N,0.000,mm,OK,--,0:21:31,2024/10/10,--,
93,7.0,N,0.000,mm,OK,--,0:21:31,2024/10/10,--,
94,7.0,N,0.000,mm,OK,--,0:21:31,2024/10/10,--,
95,7.0,N,0.000,mm,OK,--,0:21:31,2024/10/10,--,
96,7.0,N,0.000,mm,OK,--,0:21:31,2024/10/10,--,
97,0.0,N,0.000,mm,OK,--,0:21:31,2024/10/10,--,
98,0.0,N,0.000,mm,OK,--,0:21:31,2024/10/10,--,
99,0.0,N,0.000,mm,OK,--,0:21:32,2024/10/10,--,
100,0.0,N,0.000,mm,OK,--,0:21:32,2024/10/10,--,
101,0.0,N,0.000,mm,OK,--,0:21:32,2024/10/10,--,
102,0.0,N,0.000,mm,OK,--,0:21:32,2024/10/10,--,
103,7.1,N,0.000,mm,OK,--,0:21:32,2024/10/10,--,
104,7.1,N,0.000,mm,OK,--,0:21:32,2024/10/10,--,
105,7.0,N,0.000,mm,OK,--,0:21:32,2024/10/10,--,
106,7.0,N,0.000,mm,OK,--,0:21:32,2024/10/10,--,
107,7.0,N,0.000,mm,OK,--,0:21:32,2024/10/10,--,
108,7.0,N,0.000,mm,OK,--,0:21:32,2024/10/10,--,
109,0.0,N,0.000,mm,OK,--,0:21:33,2024/10/10,--,
110,0.0,N,0.000,mm,OK,--,0:21:33,2024/10/10,--,
111,0.0,N,0.000,mm,OK,--,0:21:33,2024/10/10,--,
112,0.0,N,0.000,mm,OK,--,0:21:33,2024/10/10,--,
113,0.0,N,0.000,mm,OK,--,0:21:33,2024/10/10,--,
114,0.0,N,0.000,mm,OK,--,0:21:33,2024/10/10,--,
115,6.8,N,0.000,mm,OK,--,0:21:33,2024/10/10,--,
116,6.9,N,0.000,mm,OK,--,0:21:33,2024/10/10,--,
117,6.9,N,0.000,mm,OK,--,0:21:33,2024/10/10,--,
118,6.8,N,0.000,mm,OK,--,0:21:33,2024/10/10,--,
119,6.8,N,0.000,mm,OK,--,0:21:34,2024/10/10,--,
120,6.8,N,0.000,mm,OK,--,0:21:34,2024/10/10,--,
121,6.8,N,0.000,mm,OK,--,0:21:34,2024/10/10,--,
122,0.0,N,0.000,mm,OK,--,0:21:34,2024/10/10,--,
123,0.0,N,0.000,mm,OK,--,0:21:34,2024/10/10,--,
124,0.0,N,0.000,mm,OK,--,0:21:34,2024/10/10,--,
125,0.0,N,0.000,mm,OK,--,0:21:34,2024/10/10,--,
126,0.0,N,0.000,mm,OK,--,0:21:34,2024/10/10,--,
127,0.0,N,0.000,mm,OK,--,0:21:34,2024/10/10,--,
