统计,,,,,,,,,,,
最大值,26.4,@,126,,,,,,,,
最小值,0.0,@,1,,,,,,,,
平均值,6.34,,,,,,,,,,
数据数量,181,,,,,,,,,,
NG次数,0,,,,,,,,,,
数量,力量,单位,位移,单位,合格判定,姿势,时间,日期,测定者,
85,7.0,N,0.000,mm,OK,--,22:41:09,2024/10/14,--,
86,7.7,N,0.000,mm,OK,--,22:41:09,2024/10/14,--,
87,8.4,N,0.000,mm,OK,--,22:41:09,2024/10/14,--,
88,9.6,N,0.000,mm,OK,--,22:41:09,2024/10/14,--,
89,10.4,N,0.000,mm,OK,--,22:41:09,2024/10/14,--,
90,11.2,N,0.000,mm,OK,--,22:41:09,2024/10/14,--,
91,11.6,N,0.000,mm,OK,--,22:41:09,2024/10/14,--,
92,12.3,N,0.000,mm,OK,--,22:41:10,2024/10/14,--,
93,13.4,N,0.000,mm,OK,--,22:41:10,2024/10/14,--,
94,13.9,N,0.000,mm,OK,--,22:41:10,2024/10/14,--,
95,15.3,N,0.000,mm,OK,--,22:41:10,2024/10/14,--,
96,15.8,N,0.000,mm,OK,--,22:41:10,2024/10/14,--,
97,17.2,N,0.000,mm,OK,--,22:41:10,2024/10/14,--,
98,18.1,N,0.000,mm,OK,--,22:41:10,2024/10/14,--,
99,18.2,N,0.000,mm,OK,--,22:41:10,2024/10/14,--,
100,19.3,N,0.000,mm,OK,--,22:41:10,2024/10/14,--,
101,19.6,N,0.000,mm,OK,--,22:41:10,2024/10/14,--,
102,19.6,N,0.000,mm,OK,--,22:41:11,2024/10/14,--,
103,20.7,N,0.000,mm,OK,--,22:41:11,2024/10/14,--,
104,20.8,N,0.000,mm,OK,--,22:41:11,2024/10/14,--,
105,21.7,N,0.000,mm,OK,--,22:41:11,2024/10/14,--,
106,21.8,N,0.000,mm,OK,--,22:41:11,2024/10/14,--,
107,22.4,N,0.000,mm,OK,--,22:41:11,2024/10/14,--,
108,22.5,N,0.000,mm,OK,--,22:41:11,2024/10/14,--,
109,22.5,N,0.000,mm,OK,--,22:41:11,2024/10/14,--,
110,23.1,N,0.000,mm,OK,--,22:41:11,2024/10/14,--,
111,23.1,N,0.000,mm,OK,--,22:41:11,2024/10/14,--,
112,23.1,N,0.000,mm,OK,--,22:41:12,2024/10/14,--,
113,23.7,N,0.000,mm,OK,--,22:41:12,2024/10/14,--,
114,23.7,N,0.000,mm,OK,--,22:41:12,2024/10/14,--,
115,23.7,N,0.000,mm,OK,--,22:41:12,2024/10/14,--,
116,24.1,N,0.000,mm,OK,--,22:41:12,2024/10/14,--,
117,24.1,N,0.000,mm,OK,--,22:41:12,2024/10/14,--,
118,24.6,N,0.000,mm,OK,--,22:41:12,2024/10/14,--,
119,24.6,N,0.000,mm,OK,--,22:41:12,2024/10/14,--,
120,24.6,N,0.000,mm,OK,--,22:41:12,2024/10/14,--,
121,24.6,N,0.000,mm,OK,--,22:41:12,2024/10/14,--,
122,24.5,N,0.000,mm,OK,--,22:41:13,2024/10/14,--,
123,24.5,N,0.000,mm,OK,--,22:41:13,2024/10/14,--,
124,24.5,N,0.000,mm,OK,--,22:41:13,2024/10/14,--,
125,24.5,N,0.000,mm,OK,--,22:41:13,2024/10/14,--,
126,26.4,N,0.000,mm,OK,--,22:41:13,2024/10/14,--,
127,26.3,N,0.000,mm,OK,--,22:41:13,2024/10/14,--,
